nohup: ignoring input
Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Solving IVP
t: 3.364497373433169e-06, error: 199.99095047564072, nfev: 10, res.x: 53.59946637562038
t: 3.3922444843080255e-06, error: 199.99109538737224, nfev: 10, res.x: 53.59946637562038
t: 3.530980038682306e-06, error: 199.99247233371796, nfev: 10, res.x: 71.63345512551524
t: 3.5556441372377336e-06, error: 199.9932978581221, nfev: 10, res.x: 90.21286236252209
t: 3.5864742604320183e-06, error: 199.99348204149894, nfev: 10, res.x: 82.77907312568348
t: 3.5864742604320183e-06, error: 199.99262935995102, nfev: 10, res.x: 78.8382660794833
t: 3.6428083029338834e-06, error: 199.99322150943476, nfev: 10, res.x: 89.91869381244217
t: 3.670975324184816e-06, error: 199.99361121261433, nfev: 10, res.x: 82.77907312568348
t: 3.8118104304394797e-06, error: 199.99397064513147, nfev: 10, res.x: 89.91869381244217
t: 3.836847782662531e-06, error: 199.99176860719496, nfev: 10, res.x: 71.63345512551524
t: 3.868144472941345e-06, error: 199.99262161813104, nfev: 10, res.x: 94.24538483754523
t: 3.868144472941345e-06, error: 199.99609052724185, nfev: 10, res.x: 82.77907312568348
t: 3.6350834610196683e-06, error: 199.99314031045122, nfev: 10, res.x: 71.63345512551524
t: 3.6593880613134935e-06, error: 199.9933432549173, nfev: 10, res.x: 89.66744387541009
t: 3.7809110627826192e-06, error: 199.9967925409356, nfev: 10, res.x: 89.91869381244217
t: 3.802515151932686e-06, error: 200.000950328191, nfev: 10, res.x: 85.33590553623596
t: 3.829520263370269e-06, error: 200.00086366945314, nfev: 10, res.x: 89.66744387541009
t: 3.829520263370269e-06, error: 199.99555361500262, nfev: 10, res.x: 89.91869381244217
t: 3.87812946395792e-06, error: 199.99613638633835, nfev: 10, res.x: 89.66744387541009
t: 3.902434064251744e-06, error: 199.9964259407169, nfev: 10, res.x: 94.24538483754523
t: 4.0239570657208694e-06, error: 199.99841363175165, nfev: 10, res.x: 82.77907312568348
t: 4.045561154870936e-06, error: 199.99968269254475, nfev: 10, res.x: 94.09010383678812
t: 4.07256626630852e-06, error: 199.99970246239297, nfev: 10, res.x: 87.30295964769
t: 4.07256626630852e-06, error: 199.9983251690732, nfev: 10, res.x: 94.09010383678812
t: 4.121371372186276e-06, error: 199.99893744188034, nfev: 10, res.x: 94.8492500377807
t: 4.1457739251251546e-06, error: 199.99924913649753, nfev: 10, res.x: 89.66744387541009
t: 4.2677866898195445e-06, error: 200.00017041564172, nfev: 10, res.x: 94.09010383678812
t: 4.289477847987436e-06, error: 199.99934647278027, nfev: 10, res.x: 89.66744387541009
t: 4.316591795697301e-06, error: 199.99987856965612, nfev: 10, res.x: 96.55581462513669
t: 4.316591795697301e-06, error: 200.0013788025746, nfev: 10, res.x: 82.77907312568348
t: 4.366701050796892e-06, error: 200.00193187351098, nfev: 10, res.x: 93.92469112585172
t: 4.3917556783466884e-06, error: 200.0022921852877, nfev: 10, res.x: 89.66744387541009
t: 4.517028816095669e-06, error: 200.00301922846, nfev: 10, res.x: 98.459713474939
t: 4.539299596139931e-06, error: 200.0016274387782, nfev: 10, res.x: 94.79080332465719
t: 4.56713807119526e-06, error: 200.0022243214728, nfev: 10, res.x: 89.66744387541009
t: 4.56713807119526e-06, error: 200.00448936626606, nfev: 10, res.x: 98.459713474939
t: 4.634165435904561e-06, error: 200.00536932063642, nfev: 10, res.x: 96.55581462513669
t: 4.667679118259212e-06, error: 200.0057901567199, nfev: 10, res.x: 93.76941012509462
t: 4.835247530032464e-06, error: 200.00758161179908, nfev: 10, res.x: 96.55581462513669
t: 4.865037469903265e-06, error: 200.00735278351775, nfev: 10, res.x: 96.58131161490732
t: 4.902274894741766e-06, error: 200.00793695724138, nfev: 10, res.x: 96.66817701284593
t: 4.902274894741766e-06, error: 200.00875620538955, nfev: 10, res.x: 89.66744387541009
t: 4.984450477396795e-06, error: 200.00973871407422, nfev: 10, res.x: 96.66817701284593
t: 5.0255382687243105e-06, error: 200.01031626805752, nfev: 10, res.x: 93.92469112585172
t: 5.230977225361885e-06, error: 200.01208365513827, nfev: 10, res.x: 93.92469112585172
t: 5.267499706541898e-06, error: 200.0108986706274, nfev: 10, res.x: 93.92469112585172
t: 5.3131528080169145e-06, error: 200.01162121874881, nfev: 10, res.x: 96.66817701284593
t: 5.3131528080169145e-06, error: 200.01390046507197, nfev: 10, res.x: 96.66817701284593
t: 5.444575140715197e-06, error: 200.01559450428158, nfev: 10, res.x: 97.42192682394216
t: 5.510286307064338e-06, error: 200.01645638942222, nfev: 10, res.x: 96.55581462513669
t: 5.838842138810045e-06, error: 200.02039512776216, nfev: 10, res.x: 98.459713474939
t: 5.897252064453726e-06, error: 200.02052141043288, nfev: 10, res.x: 96.55581462513669
t: 5.970264471508327e-06, error: 200.02161900782522, nfev: 10, res.x: 96.66817701284593
t: 5.970264471508327e-06, error: 200.02247175794324, nfev: 10, res.x: 96.55581462513669
t: 6.140024348296409e-06, error: 200.0246575225241, nfev: 10, res.x: 96.55581462513669
t: 6.22490428669045e-06, error: 200.02575041377042, nfev: 10, res.x: 96.55581462513669
t: 6.649303978660655e-06, error: 200.03121495956057, nfev: 10, res.x: 96.55581462513669
t: 6.724752812788692e-06, error: 200.03218644999447, nfev: 10, res.x: 96.55581462513669
t: 6.819063855448737e-06, error: 200.03340081967065, nfev: 10, res.x: 96.66817701284593
t: 6.819063855448737e-06, error: 200.03340248519373, nfev: 10, res.x: 96.66817701284593
t: 7.2545477751456015e-06, error: 200.03901649287187, nfev: 10, res.x: 96.73762078750735
